Ct,Gene,Division
37.79,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
,ORF1ab,Chittagong
33.53,ORF1ab,Sylhet
33.32,ORF1ab,Sylhet
,ORF1ab,Sylhet
,ORF1ab,Sylhet
33.9,ORF1ab,Sylhet
,ORF1ab,Sylhet
,ORF1ab,Sylhet
,ORF1ab,Sylhet
,ORF1ab,Sylhet
32.13,N,Mymensing
33.67,N,Mymensing
33.68,N,Mymensing
37.44,N,Mymensing
37.33,N,Mymensing
36.22,N,Mymensing
35.45,N,Mymensing
35.64,N,Sylhet
36.34,N,Sylhet
37.32,N,Sylhet
36.34,N,Sylhet
38.42,N,Sylhet
,N,Sylhet
,N,Sylhet
,N,Sylhet
,N,Sylhet
37.84,N,Rajshahi
39.23,N,Rajshahi
36.32,N,Rajshahi
38.64,N,Rajshahi
,N,Rajshahi
,N,Rajshahi
,N,Rajshahi
,N,Rajshahi
,N,Rajshahi
37.82,N,Rangpur
,N,Rangpur
36.38,N,Rangpur
37.19,N,Rangpur
39.33,N,Rangpur
,N,Rangpur
,N,Rangpur
,N,Rangpur
,N,Rangpur
37.36,N,Rangpur
37.36,N,Rangpur
36.38,N,Rangpur
37.35,N,Rangpur
,N,Rangpur
,N,Rangpur
,N,Rangpur
,N,Rangpur
,N,Rangpur
,N,Dhaka
37.72,N,Dhaka
33.78,N,Dhaka
37.54,N,Dhaka
,N,Dhaka
39.32,N,Dhaka
36.74,N,Dhaka
36.43,N,Dhaka
,N,Dhaka
,N,Dhaka
33.64,N,Dhaka
,N,Dhaka
31.31,N,Dhaka
33.75,N,Dhaka
,N,Dhaka
36.31,N,Dhaka
31,N,Dhaka
33.51,N,Dhaka
,N,Barisal
35.56,N,Barisal
36.7,N,Barisal
,N,Barisal
,N,Barisal
,N,Barisal
,N,Barisal
,N,Barisal
,N,Barisal
37,N,Chittagong
38.4,N,Chittagong
35,N,Chittagong
,N,Chittagong
33.21,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Khulna
34.76,N,Khulna
36.5,N,Khulna
,N,Khulna
,N,Khulna
,N,Khulna
,N,Khulna
,N,Khulna
,N,Khulna
35.27,N,Chittagong
35.21,N,Chittagong
,N,Chittagong
35.31,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
37.4,N,Chittagong
,N,Chittagong
,N,Chittagong
34.4,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
32.32,N,Dhaka
37.21,N,Dhaka
36.38,N,Dhaka
,N,Dhaka
36.74,N,Dhaka
,N,Dhaka
,N,Dhaka
,N,Dhaka
,N,Dhaka
37.81,N,Chittagong
39.65,N,Chittagong
37.61,N,Chittagong
,N,Chittagong
36.23,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
37.21,N,Chittagong
,N,Chittagong
38.21,N,Chittagong
,N,Chittagong
,N,Chittagong
31.12,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
31.41,N,Chittagong
,N,Chittagong
,N,Chittagong
32.52,N,Chittagong
,N,Chittagong
34.61,N,Chittagong
,N,Chittagong
35.21,N,Chittagong
,N,Chittagong
37.7,N,Chittagong
,N,Chittagong
,N,Chittagong
36.4,N,Chittagong
,N,Chittagong
,N,Chittagong
37.87,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Chittagong
,N,Sylhet
,N,Sylhet
,N,Sylhet
37.63,N,Sylhet
,N,Sylhet
,N,Sylhet
,N,Sylhet
,N,Sylhet
,N,Sylhet
