Ct,Gene,Division
,FAM(1),Chittagong
36.8,FAM(1),Chittagong
37.48,FAM(1),Chittagong
,FAM(1),Chittagong
36.62,FAM(1),Chittagong
37.4,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Dhaka
38.4,FAM(1),Dhaka
34.4,FAM(1),Dhaka
38.27,FAM(1),Dhaka
39.28,FAM(1),Dhaka
,FAM(1),Dhaka
,FAM(1),Dhaka
,FAM(1),Dhaka
,FAM(1),Dhaka
38.11,FAM(1),Chittagong
,FAM(1),Chittagong
39.37,FAM(1),Chittagong
37.89,FAM(1),Chittagong
38.15,FAM(1),Chittagong
37.29,FAM(1),Chittagong
37.81,FAM(1),Chittagong
38.34,FAM(1),Chittagong
38.12,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
33.41,FAM(1),Chittagong
35.69,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
36.09,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
36.43,FAM(1),Chittagong
36,FAM(1),Chittagong
,FAM(1),Chittagong
38.96,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
36.12,FAM(1),Chittagong
,FAM(1),Chittagong
33.14,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
34.32,FAM(1),Chittagong
34.27,FAM(1),Chittagong
36.32,FAM(1),Chittagong
,FAM(1),Chittagong
37.38,FAM(1),Chittagong
37.4,FAM(1),Chittagong
37.7,FAM(1),Chittagong
37.96,FAM(1),Chittagong
37.79,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Chittagong
,FAM(1),Sylhet
36.49,FAM(1),Sylhet
,FAM(1),Sylhet
38.95,FAM(1),Sylhet
,FAM(1),Sylhet
,FAM(1),Sylhet
,FAM(1),Sylhet
,FAM(1),Sylhet
,FAM(1),Sylhet
34.35,Rox(1),Mymensing
35.47,Rox(1),Mymensing
34.1,Rox(1),Mymensing
,Rox(1),Mymensing
,Rox(1),Mymensing
37.92,Rox(1),Mymensing
,Rox(1),Mymensing
,Rox(1),Sylhet
37.36,Rox(1),Sylhet
36.54,Rox(1),Sylhet
34.72,Rox(1),Sylhet
33.22,Rox(1),Sylhet
,Rox(1),Sylhet
,Rox(1),Sylhet
36.7,Rox(1),Sylhet
,Rox(1),Sylhet
34.13,Rox(1),Rajshahi
36.4,Rox(1),Rajshahi
,Rox(1),Rajshahi
34.43,Rox(1),Rajshahi
,Rox(1),Rajshahi
,Rox(1),Rajshahi
,Rox(1),Rajshahi
,Rox(1),Rajshahi
33.17,Rox(1),Rajshahi
29.5,Rox(1),Rangpur
,Rox(1),Rangpur
37.6,Rox(1),Rangpur
34.41,Rox(1),Rangpur
,Rox(1),Rangpur
,Rox(1),Rangpur
,Rox(1),Rangpur
,Rox(1),Rangpur
,Rox(1),Rangpur
34.48,Rox(1),Rangpur
36.8,Rox(1),Rangpur
30.72,Rox(1),Rangpur
,Rox(1),Rangpur
37.4,Rox(1),Rangpur
37.23,Rox(1),Rangpur
,Rox(1),Rangpur
,Rox(1),Rangpur
,Rox(1),Rangpur
34.12,Rox(1),Dhaka
37.42,Rox(1),Dhaka
37.41,Rox(1),Dhaka
37.48,Rox(1),Dhaka
35.44,Rox(1),Dhaka
,Rox(1),Dhaka
37.42,Rox(1),Dhaka
37.42,Rox(1),Dhaka
34.42,Rox(1),Dhaka
35.42,Rox(1),Dhaka
36.37,Rox(1),Dhaka
,Rox(1),Dhaka
37.24,Rox(1),Dhaka
33.11,Rox(1),Dhaka
36.44,Rox(1),Dhaka
36.45,Rox(1),Dhaka
33.37,Rox(1),Dhaka
36.2,Rox(1),Dhaka
32.6,Rox(1),Barisal
35.21,Rox(1),Barisal
32.45,Rox(1),Barisal
36.34,Rox(1),Barisal
32.14,Rox(1),Barisal
,Rox(1),Barisal
,Rox(1),Barisal
,Rox(1),Barisal
,Rox(1),Barisal
26.28,Rox(1),Chittagong
33.37,Rox(1),Chittagong
35.71,Rox(1),Chittagong
34.62,Rox(1),Chittagong
37.11,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
35.17,Rox(1),Khulna
38.75,Rox(1),Khulna
,Rox(1),Khulna
,Rox(1),Khulna
36.2,Rox(1),Khulna
,Rox(1),Khulna
,Rox(1),Khulna
,Rox(1),Khulna
,Rox(1),Khulna
37.4,Rox(1),Chittagong
37.48,Rox(1),Chittagong
,Rox(1),Chittagong
37.8,Rox(1),Chittagong
33.44,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
38.12,Rox(1),Chittagong
35.56,Rox(1),Chittagong
37.48,Rox(1),Chittagong
,Rox(1),Chittagong
39.48,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
36.48,Rox(1),Dhaka
,Rox(1),Dhaka
,Rox(1),Dhaka
,Rox(1),Dhaka
40,Rox(1),Dhaka
,Rox(1),Dhaka
,Rox(1),Dhaka
,Rox(1),Dhaka
,Rox(1),Dhaka
38.53,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
40.85,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
29.61,Rox(1),Chittagong
32.69,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
36.79,Rox(1),Chittagong
36,Rox(1),Chittagong
,Rox(1),Chittagong
37.96,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
35.57,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
39.08,Rox(1),Chittagong
37.65,Rox(1),Chittagong
,Rox(1),Chittagong
36.49,Rox(1),Chittagong
38.73,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
39.23,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
32.34,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
36.69,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Chittagong
,Rox(1),Sylhet
34.12,Rox(1),Sylhet
,Rox(1),Sylhet
,Rox(1),Sylhet
38.4,Rox(1),Sylhet
,Rox(1),Sylhet
,Rox(1),Sylhet
,Rox(1),Sylhet
,Rox(1),Sylhet
